Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Italy,ITA,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.764670831,6.196907561,4.574967221,3.175840957,2.950761201,2.947237078,2.674654378,2.467930061,2.520553507,2.314428866,2.087869597,1.950618593,1.668904841,1.876135315,,1.68052506,1.577921692,1.690272766,1.629102583,1.445874269,1.293473839,1.328415248,1.260963709,1.105574132,1.121977148,1.140238652,0.866839745,0.836533044,0.748009677,0.708140837,0.583001541,0.637267905,,
Italy,ITA,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,68.15920258,,68.65671539,,69.15422821,67.16417694,77.88461304,71.63461304,73.55769348,72.59615326,71.15384674,70.1421814,69.66824341,68.54460144,69.48356628,70.42253876,70.93595886,71.92118073,71.92118073,73.39901733,71.8446579,70.04830933,74.39613342,75.36231995,75.84541321,76.96078491
Italy,ITA,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,44.06196213,46.57785706,49.59501191,48.29878821,44.56934064,45.55812897,44.5258786,50.56832721,53.25625947,53.96958324,51.5664192,47.24709385,50.022298,51.52389311,49.0399281,46.09407652,45.53950831,44.66703423,45.19946379,41.58208385,36.48189342,44.47496656,44.36854325,46.9389984,48.93532615,50.84330705,49.96776984,48.39796238,47.4280805,47.37302206,46.87667354,43.29292808,43.264889,42.72148791,41.0242365,38.88744031,37.86549556,37.06205568,40.37238597,42.12125113,38.51781433,39.23457885,38.01833521,39.37446831,40.13600975,40.47220639,40.31716861,39.76134548,40.11686883,40.7269687,23.48315882,24.27923706,36.42067803,38.13023709
Italy,ITA,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,3718399996,4072271906,4825055309,5645452328,5980070103,7156605312,7131489855,9416693009,11850629333,15239947703,17339950737,15157601912,15932658244,16619865060,16688402268,18207121880,21876683316,27137766084,27113567994,28710377436,45146496902,41787570052,53039648401,48384378868,50503310611,56481276358,60069524432,61394246348,62860814886,59844963702,58656320748,59657701007,62160658841,73205339037,86286547814,90799813886,1.01091E+11,1.15082E+11,1.14476E+11,95929513724,99776029819,1.10287E+11,1.07693E+11,1.11303E+11,1.13519E+11,97431410437,1.00157E+11,1.1212E+11,1.22309E+11,1.21593E+11,84720873356,1.02838E+11,1.2617E+11,1.46942E+11
Italy,ITA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,3635900000,4178200000,4659900000,5038400000,5907500000,7154300000,8026400000,8691100000,10150600000,11732900000,13174200000,15051200000,18532100000,22199800000,30458000000,34807000000,37230300000,45289400000,56031000000,72177200000,77612700000,75236400000,73413300000,72668600000,73247900000,78965100000,97753400000,1.16234E+11,1.2838E+11,1.40623E+11,1.70275E+11,1.69431E+11,1.77309E+11,1.68194E+11,1.89684E+11,2.3274E+11,2.50552E+11,2.38249E+11,2.42678E+11,2.35082E+11,2.39904E+11,2.4425E+11,2.54484E+11,2.99876E+11,3.53554E+11,3.72729E+11,4.17223E+11,5.00242E+11,5.44635E+11,4.06826E+11,4.46895E+11,5.23404E+11,5.01546E+11,5.18112E+11,5.29797E+11,4.56989E+11,4.61737E+11,5.07418E+11,5.49526E+11,5.37717E+11,4.9612E+11,,,
Italy,ITA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,5.118402596,4.327222249,4.259748063,4.84280724,4.282691494,4.654543421,4.563689824,4.555234665,4.834196993,4.547895235,4.028328096,4.408286382,5.022096794,5.387886377,7.675815878,9.833079553,9.026518723,9.380561456,8.976816405,8.519864999,10.19356368,14.08972253,10.6364923,9.764052149,8.658268701,7.320069246,5.318894279,3.963986441,3.684062938,3.94445043,4.060572418,4.514578106,4.543047825,4.394067532,3.661478005,3.015668714,3.188252734,3.255683289,3.393382973,3.283683396,3.331058826,3.645192079,3.864633582,3.871641338,3.952748685,3.991578496,3.652684935,3.890966581,4.841233706,5.538833133,5.524901706,4.263499289,4.57099573,4.958034312,4.540515888,4.191640232,3.993937686,3.781616795,3.591211721,3.139759694,2.826778173,,,
Italy,ITA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,19.14794136,18.44574219,15.77287066,16.41394093,15.21963606,15.1601135,15.28705273,15.76785447,15.43751108,14.22325256,13.88167782,13.42285001,13.1917052,13.12624438,17.30579815,19.97328124,17.33265647,17.55642601,17.04717032,15.86082586,18.40124103,23.0682223,18.35185178,16.80808492,15.66461291,14.23831541,12.07763617,10.2440766,9.835435756,10.14832171,9.95789063,10.82372865,11.36075525,14.40183494,13.48659684,13.76027032,14.60953919,15.35166277,14.32403739,12.15674382,13.12501402,14.07801541,14.44476211,14.58373123,15.39206558,16.35212263,17.03113982,17.95987658,19.66779783,20.49168404,21.35387266,21.07048931,21.43442293,22.17495906,20.97226864,19.54981651,19.02311763,19.37932669,18.58593895,17.69733374,17.12069846,,,
Italy,ITA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,1.550927775,1.445417574,2.142081927,2.319780102,1.861196402,1.506598621,1.83742614,1.670974494,1.665355775,1.40348726,1.25931285,1.346619238,1.577534379,1.240265675,1.319742382,1.307307574,1.440782041,1.380771947,1.579129681,1.436847653,1.313528758,1.480447497,1.475345161,1.419320408,1.273486968,1.245203623,1.527136196,1.613312876,1.418220922,1.329843189,1.248405114,1.211761188,1.314448778,1.424159548,1.279545549,1.296301376,1.282653536,1.273928242,1.388793469,1.333305679,1.323501677,1.295154038,1.434489208,1.48703124,2.055810286,1.995552796,1.805540163,1.641670332,2.153127317,2.270136945,2.062685366,1.986715141,2.008351534,1.936419897,1.909822153,2.072308482,2.096617685,2.13967056,2.369233135,2.893718168,2.84846668,2.367145041
Italy,ITA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,5.589753854,5.513221466,5.051432147,5.445189912,5.854116254,6.118575959,5.9692111,5.112583718,5.066317495,5.4357879,4.425487856,5.66943148,7.806007921,5.829724691,5.690788475,5.613404543,5.878401468,6.581644876,5.66128949,6.279346362,6.795687022,5.356672515,4.529629259,4.669831279,2.789261818,2.438157261,1.928658001,1.991038459,2.305607923,2.330807756,2.209253178,2.170109619,1.579761128,1.247699348,1.225302735,1.424175786,1.100874983,1.193634792,2.021512869,1.910413643,1.746009624,2.135904298,2.34086221,3.438720286,3.600073862,3.920418286,4.693309627,3.447934597,4.638893989,4.760732394,4.699484779,4.277316483,3.739037595,3.294407373,2.663594621,3.272562332,3.470594176,3.049475532,2.141792131,3.09783026,4.978535122,3.628741759
